12	13
2437	2438
28	29
35	2667
63	62
74	73
96	95
109	107
2494	2493
134	133
155	154
2460	2461
200	199
2464	2465
2500	2499
2485	2484
235	234
2541	2542
2477	2476
2538	2537
2479	2478
267	266
277	276
292	291
323	322
350	349
2472	2473
359	358
379	378
383	384
2496	2497
407	408
2511	2512
2487	2488
2544	2545
428	463
465	466
488	487
2466	2467
2449	2448
2441	2443
2481	2482
561	562
2445	2446
590	589
2490	2491
2502	2503
708	709
745	746
2672	755
771	772
782	783
790	791
817	818
828	829
2433	2434
2451	2452
2454	2455
2457	2458
845	846
836	837
841	842
849	850
2505	2506
2508	2509
2050	2673
2514	2515
2517	2518
2520	2521
2547	2548
2555	2556
2571	2572
2587	2588
2603	2604
2619	2620
2635	2636
2651	2652
692	691
737	739
678	669
499	500
724	722
2524	2525
2551	2552
2532	2533
2528	2529
2470	2469
